price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,Price_sqft
4300000,"sector 1 greater noida west, Greater Noida West, Greater Noida, Delhi NCR",1295,28.566914,77.436434,2,2,4,Ready to Move,Resale,2,,,"Near ATS Chowk, near Ace city ' sector 1 greater noida west",Individual House,3320.46332
23800000,"Ibiza Town, Suraj Kund Road, Faridabad, Suraj Kund, Faridabad, Delhi NCR",3500,28.4818021,77.2200217,4,5,3,Ready to Move,Resale,1,,2,Near Surajkund international Carft,Flat,6800
10500000,"Plot No:1, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303, Sector 45, Noida, Delhi NCR",1850,28.548787,77.346032,3,4,2,Ready to Move,Resale,2,,3,Near by NRI Residency sector 45 Noida,Flat,5675.675676
10800000,"Sector 32 Sohna Gurgaon Haryana, Sohna, Gurgaon, Delhi NCR",1966,28.247592,77.069185,2,2,1,Ready to Move,Resale,1,,,Near By G D Goenka University,Flat,5493.387589
5500000,"Indirapuram, Ghaziabad, Delhi NCR",1350,28.6493479,77.3696259,2,2,,,Resale,,Furnished,,,Flat,4074.074074
4320000,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1040,28.509118,77.413416,2,2,3,Ready to Move,New Property,1,,2,"located on noida expresswaynear by sector 137 metro station, noida",Flat,4153.846154
3000000,"Sai Enclave niti khand indirapuram, Niti Khand-Indirapuram, Ghaziabad, Delhi NCR",800,28.6452824,77.3621025,2,2,1,Ready to Move,Resale,1,Semi-Furnished,0,Near Hathi Park,Flat,3750
3500000,"Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",950,28.579593,77.445197,2,2,3,Ready to Move,Resale,,,3,Ace City,Flat,3684.210526
16000000,"F-54., South City 2, Gurgaon, Delhi NCR",2000,28.4178669,77.0512457,4,4,3,Ready to Move,Resale,2,Semi-Furnished,,Right next to South Patio club,Flat,8000
3000000,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",900,28.685449,77.5092258,2,2,3,Ready to Move,Resale,1,,2,Columbia Hospital,Individual House,3333.333333
3300000,"Park Lotus Surajpur Greater Noida, Surajpur, Greater Noida, Delhi NCR",960,28.51284137,77.48955332,2,2,1,Ready to Move,Resale,,,1,Near by Surajpur Police chowki Greater Noida,Flat,3437.5
8200000,"Gurgaon - Faridabad Road, Gurgaon, Gwal Pahari, Gurgaon - South, Delhi NCR",1371,28.433653,77.152919,2,2,3,Ready to Move,New Property,2,,2,"very close golf course road sec- 56, and south delhi, faridabad",Flat,5981.03574
6000000,"Unitech Horizon Greater Noida, PI 2, Greater Noida, Delhi NCR",1750,28.475274,77.545978,3,3,1,Ready to Move,Resale,2,,2,Near by GAIL society pI1 Greater Noida,Flat,3428.571429
4100000,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",1299,28.519997,77.376873,3,2,4,Ready to Move,Resale,1,,2,Columbia Asia Hospital.,Flat,3156.274057
5200000,"plot no -02 E sector 12  Graeter noida west, Greater Noida West, Noida, Delhi NCR",1365,28.60595894,77.44451141,3,2,3,Ready to Move,Resale,2,Furnished,2,Rajiv Palaya chowk.,Flat,3809.52381
21000000,"godrej golf links, the crest, Pari Chowk, Greater Noida, Delhi NCR",2800,28.4655907,77.5114027,4,5,4,,Resale,,Unfurnished,,"It is close to metro stn. Alpha 1 and market, banks",Flat,7500
2650000,"Sector 4, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",835,28.609898,77.436343,2,2,2,,Resale,1,Unfurnished,,1.7 KM from Gaur Chowk and 0.7 KM from purported Metro Station,Flat,3173.652695
10000000,"Paschim Vihar, New Delhi - West, Delhi NCR",1000,28.6677244,77.0979515,2,2,,Ready to Move,Resale,,Unfurnished,,,Individual House,10000
4500000,"A33 Shishram park Uttam Nagar, Uttam Nagar East, New Delhi - West, Delhi NCR",1000,28.63472366,77.04911041,3,2,1,Ready to Move,Resale,1,Semi-Furnished,,New Holy Public School,Flat,4500
6900000,"B1 1103 The Romano sector 118 Noida, Sector 118, Noida, Delhi NCR",1260,28.58548927,77.39931488,2,2,3,Ready to Move,Resale,1,Unfurnished,2,Near by Amrapali zodiac sector 120 Noida,Flat,5476.190476
13500000,"Sector 99, Gurgaon, Delhi NCR",2425,28.44456311,76.9550119,4,4,,,Resale,,Semi-Furnished,,,Flat,5567.010309
4500000,"Pratap vihar Ghaziabad, Pratap Vihar, Ghaziabad, Delhi NCR",1198,28.63336372,77.43121338,3,2,1,Ready to Move,Resale,,Furnished,,Dominos Pizza,Flat,3756.260434
32500000,"Sultanpur, New Delhi, Sultanpur, New Delhi - South, Delhi NCR",3000,28.4969141,77.1652546,3,3,2,Ready to Move,Resale,2,,1,Near Sultanpur Metro Station,Flat,10833.33333
11000000,"Sector 71, Gurgaon, Delhi NCR",1743,28.419032,77.028272,3,3,2,Ready to Move,New Property,1,,,,Individual House,6310.958118
3200000,"Gali no 4, behind Aman bakery, Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR",650,28.59803581,77.07652283,2,2,1,Ready to Move,Resale,,Unfurnished,,,Flat,4923.076923
3200000,"greater noida, Jalvayu Vihar, Greater Noida, Delhi NCR",815,28.446343,77.515305,2,2,,Ready to Move,Resale,,,,,Flat,3926.380368
3400000,"Bhopura, Ghaziabad, Delhi NCR",1050,28.7005505,77.3286995,2,2,,,Resale,,Unfurnished,,,Flat,3238.095238
11100000,"Ashoka Enclave Part 1, Faridabad, Delhi NCR",2100,28.46847725,77.31389618,4,3,2,Ready to Move,Resale,,Furnished,,,Flat,5285.714286
3500000,"Sector 5 Rajendra Nagar, Ghaziabad, Delhi NCR",900,28.6809994,77.356998,2,2,1,Ready to Move,Resale,,Unfurnished,,,Flat,3888.888889
12500000,"Unitech Fresco Nirvana Country Sector 50, Gurgaon, Nirvana Country, Gurgaon, Delhi NCR",1836,28.414627,77.060127,3,3,3,Ready to Move,Resale,2,,3,Nirvana countryHibiscusGolf EstateDPS International school,Flat,6808.278867
8500000,"Plot No. GH 03/A, Sector 143, Noida, Uttar Pradesh 201306, Sector 143A, Noida, Delhi NCR",1495,28.502597,77.428742,3,2,,Ready to Move,Resale,,,,,Flat,5685.618729
4200000,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040,28.616204,77.422256,2,2,2,Ready to Move,Resale,1,,3,14th avenue gaur city 2 Noida extension sector 16c  Gautam Budh Nagar,Flat,4038.461538
82000000,"Golf Course Road, Gurgaon, Golf Course Road, Gurgaon, Delhi NCR",5495,28.43618253,77.10430584,5,6,2,Ready to Move,Resale,3,,3,the property is close to rapid metro and opposite to centrum plaza,Flat,14922.65696
9000000,"panchwati appartments, Vikaspuri, New Delhi - West, Delhi NCR",1250,28.64015875,77.0662659,2,2,2,Ready to Move,Resale,,,,near Gurudwara h block vikaspuri,Individual House,7200
14000000,"B-31/S-1, B- Block, Dilshad Garden, Shahdara, Delhi-110095, Dilshad Garden, New Delhi - East, Delhi NCR",2500,28.68651581,77.29942322,3,2,1,Ready to Move,Resale,2,Semi-Furnished,,Nearby GTB Hospital. 1.5 km from the Jhilmil Metro Station,Flat,5600
8900000,"Sector 37D, Gurgaon, Delhi NCR",1815,28.45251307,76.97627035,3,3,,Ready to Move,Resale,,,,,Flat,4903.581267
3200000,"Raj Nagar Extension, Ghaziabad, Delhi NCR",1041,28.70183798,77.42320672,2,2,3,Ready to Move,Resale,,,,,Flat,3073.967339
15000000,"S Block, Sector 49, Gurgaon, Delhi NCR",2000,28.412109,77.049522,4,4,3,Ready to Move,Resale,2,,0,"Sohna Road, Omaxe Mall",Flat,7500
9200000,"Sector-82, Mapsko Casa Bella, Sector 82, Gurgaon, Delhi NCR",1960,28.393665,76.962842,3,3,3,Ready to Move,Resale,123,,2,"The property is nearby to NH-8, and running project of metro.",Individual House,4693.877551
11500000,"sector 84, Sihi, Gurgaon, Delhi NCR",1963,28.406752,76.96474017,3,3,3,Ready to Move,Resale,2,,2,Near to DPS 84 and Matri Kiran School. In close proximity to malls.,Flat,5858.380031
6000000,"Sector 119, Noida -201301, Sector 119, Noida, Delhi NCR",1246,28.58632879,77.40106202,2,2,3,Ready to Move,Resale,1,,2,Near by Tripathi Hospital sector 119 Noida,Individual House,4815.40931
3900000,"omicran near Parichowk supertech Czar, Omicron, Greater Noida, Delhi NCR",1085,28.473679,77.506258,2,2,3,Ready to Move,Resale,,,3,Near by Gaur Atulyam omicron Greater Noida,Flat,3594.470046
3600000,"Ajanra le Garden, sector 16, greater noida, dist. Gautam budh nagar. U.P., Greater Noida West, Greater Noida, Delhi NCR",995,28.606945,77.45557857,2,2,3,Ready to Move,Resale,,,,"Sector 16, circle 4, gautam budh nagar",Individual House,3618.090452
49000000,"Sector 27, Greater Noida, Noida, Uttar Pradesh, Sector 27, Greater Noida, Delhi NCR",6168,28.470149,77.535673,5,5,3,Ready to Move,Resale,3,Semi-Furnished,,"Property is very close to Pari Chowk, Metro Station, Expressway",Flat,7944.228275
